,Unnamed: 0,date,approx_time,activity,details,name,location,0,1,2,3,4,5
87,33,2022-12-12,11:31:24,annotations: USA,1.6022648554567475e+18,2dialogue,"Sarasota, FL",,,,,,
88,34,2022-12-12,11:31:24,links: https://www.aljazeera.com/news/2022/12/12/ukraine-says-it-has-killed-wagner-mercenaries-who-are-they,1.6022648554567475e+18,2dialogue,"Sarasota, FL",,,,,,
89,35,2011-10-05,23:32:32,"tweeted: Ukraine says it killed Wagner mercenaries, who are they?  Controversial armed group emerged from being a murky guns-for-hire enterprise to a public extension of the Russian military (like Blackwater in USA).

https://t.co/VLgTWD3Y8v",1.6022648554567475e+18,2dialogue,"Sarasota, FL",,,,,,
90,36,2022-12-12,11:29:02,annotations: Wagner Group,1.602264257441239e+18,natty4bumpo,"Chattanooga, TN, USA",,,,,,
91,37,2022-12-12,11:29:02,annotations: Bakhmut,1.602264257441239e+18,natty4bumpo,"Chattanooga, TN, USA",,,,,,
92,38,2022-12-12,11:29:02,annotations: ukraine,1.602264257441239e+18,natty4bumpo,"Chattanooga, TN, USA",,,,,,
93,39,2022-12-12,11:29:02,annotations: SlavaUkraini,1.602264257441239e+18,natty4bumpo,"Chattanooga, TN, USA",,,,,,
94,40,2022-12-12,11:29:02,annotations: USA,1.602264257441239e+18,natty4bumpo,"Chattanooga, TN, USA",,,,,,
95,41,2022-12-12,11:29:02,annotations: UkraineRussianWar,1.602264257441239e+18,natty4bumpo,"Chattanooga, TN, USA",,,,,,
96,42,2022-12-12,11:29:02,annotations: QatarWorldCup2022,1.602264257441239e+18,natty4bumpo,"Chattanooga, TN, USA",,,,,,
97,43,2022-12-12,11:29:02,links: https://tubelive.page.link/dCPCLJK12D8T4Rqn8,1.602264257441239e+18,natty4bumpo,"Chattanooga, TN, USA",,,,,,
98,44,2009-04-10,05:21:26,"tweeted: Ukrainian Special Forces hunt down and destroy Wagner Group mercenaries in Bakhmut
##ukraine ##SlavaUkraini # ##USA ##UkraineRussianWar ##QatarWorldCup2022
https://t.co/HOHuCVCw5W",1.602264257441239e+18,natty4bumpo,"Chattanooga, TN, USA",,,,,,
99,45,2022-12-12,11:28:36,annotations: Ukraine,1.6022641480288174e+18,tellmetimes,UNKWN,,,,,,
100,46,2022-12-12,11:28:36,annotations: Lemekhani Nyirenda,1.6022641480288174e+18,tellmetimes,UNKWN,,,,,,
101,47,2022-12-12,11:28:36,annotations: Russia,1.6022641480288174e+18,tellmetimes,UNKWN,,,,,,
102,48,2022-12-12,11:28:36,annotations: Wagner,1.6022641480288174e+18,tellmetimes,UNKWN,,,,,,
103,49,2022-12-12,11:28:36,links: http://dlvr.it/SfDQPC,1.6022641480288174e+18,tellmetimes,UNKWN,,,,,,
104,50,2022-01-08,12:03:57,tweeted: Ukraine war: Lemekhani Nyirenda was recruited by Russia's mercenary group Wagner https://t.co/IIDvKHCGtL,1.6022641480288174e+18,tellmetimes,UNKWN,,,,,,
105,51,2022-12-12,11:28:16,annotations: بن هودجز,1.602264067435004e+18,45mogaber45,UNKWN,,,,,,
106,52,2022-12-12,11:28:16,annotations: أوكرانيا,1.602264067435004e+18,45mogaber45,UNKWN,,,,,,
107,53,2022-12-12,11:28:16,links: https://arabic.cnn.com/world/video/2022/12/12/v130728-wagner-group-explosion-luhansk-melitopol-ukraine-russia-hodges,1.602264067435004e+18,45mogaber45,UNKWN,,,,,,
108,54,2022-08-13,21:25:00,"tweeted: بن هودجز يوضح لـCNN ما يعنيه تفجير مقر مجموعة ""فاغنر"" الروسية في أوكرانيا - CNN Arabic https://t.co/ms6TxTYlcN",1.602264067435004e+18,45mogaber45,UNKWN,,,,,,
109,0,2022-12-12,11:26:55,annotations: Ukraine,1.602263726614356e+18,knight_riders43,"Dubai, United Arab Emirates",,,,,,
110,1,2022-12-12,11:26:55,annotations: Wagner,1.602263726614356e+18,knight_riders43,"Dubai, United Arab Emirates",,,,,,
111,2,2022-12-12,11:26:55,annotations: Bangladesh,1.602263726614356e+18,knight_riders43,"Dubai, United Arab Emirates",,,,,,
112,3,2022-12-12,11:26:55,annotations: Afghan,1.602263726614356e+18,knight_riders43,"Dubai, United Arab Emirates",,,,,,
113,4,2022-12-12,11:26:55,annotations: Pakistan,1.602263726614356e+18,knight_riders43,"Dubai, United Arab Emirates",,,,,,
114,5,2022-12-12,11:26:55,annotations: ck,1.602263726614356e+18,knight_riders43,"Dubai, United Arab Emirates",,,,,,
115,6,2022-12-12,11:26:55,annotations: ber in U,1.602263726614356e+18,knight_riders43,"Dubai, United Arab Emirates",,,,,,
116,7,2022-11-26,13:52:00,"tweeted: 🇺🇦 Ukraine strike hits Wagner group headquarters- official

🇧🇩 Bangladesh's opposition lawmakers quit parliament demand fresh vote

🇵🇰 🇦🇫 Several killed in firing by Afghan forces on Pakistan border

🏴󠁧󠁢󠁳󠁣󠁴󠁿 Suspected Lockerbie bomber in US custody:Scotland

#World #UkraineRussiaWar️",1.602263726614356e+18,knight_riders43,"Dubai, United Arab Emirates",,,,,,
117,8,2022-12-12,11:25:33,links: https://www.firstpost.com/explainers/wagner-group-russian-mercenary-group-ukraine-war-11794811.html?utm_source=twitter&utm_medium=social,1.6022633838476042e+18,firstpost,"Mumbai, India",,,,,,
118,9,2022-12-12,11:25:33,annotations: Russia,1.6022633838476042e+18,firstpost,"Mumbai, India",,,,,,
119,10,2022-12-12,11:25:33,annotations: WagnerPMC,1.6022633838476042e+18,firstpost,"Mumbai, India",,,,,,
120,11,2022-12-12,11:25:33,annotations: Ukraine,1.6022633838476042e+18,firstpost,"Mumbai, India",,,,,,
121,12,2022-12-12,11:25:33,annotations: Vladimir Putin,1.6022633838476042e+18,firstpost,"Mumbai, India",,,,,,
122,13,2022-12-12,11:25:33,annotations: Wagner,1.6022633838476042e+18,firstpost,"Mumbai, India",,,,,,
123,14,2022-12-12,11:25:33,annotations: PMC,1.6022633838476042e+18,firstpost,"Mumbai, India",,,,,,
124,15,2022-12-12,11:25:33,annotations: RussiaUkraineWar,1.6022633838476042e+18,firstpost,"Mumbai, India",,,,,,
125,16,2011-02-23,13:09:22,"tweeted: Members of Russia’s #WagnerPMC were killed following an attack by Ukraine’s armed forces on a hotel. The mercenaries, also known as Vladimir Putin’s private army, have been working in the shadows since 2014 #Wagner_PMC #RussiaUkraineWar 
https://t.co/CbjH36B2b9",1.6022633838476042e+18,firstpost,"Mumbai, India",,,,,,
126,17,2022-12-12,11:25:33,links: https://www.reuters.com/world/europe/ukraine-regional-official-says-strike-hits-wagner-group-headquarters-2022-12-11/,1.6022633807226798e+18,alleyesonwagner,Internet,,,,,,
127,18,2022-12-12,11:25:33,annotations: Ukraine,1.6022633807226798e+18,alleyesonwagner,Internet,,,,,,
128,19,2022-12-12,11:25:33,annotations: Wagner,1.6022633807226798e+18,alleyesonwagner,Internet,,,,,,
129,20,2022-12-12,11:25:33,annotations: Reuters,1.6022633807226798e+18,alleyesonwagner,Internet,,,,,,
130,21,2022-03-11,09:59:19,tweeted: Ukraine regional official says strike hits Wagner group headquarters | Reuters https://t.co/IoFk2qLLrr,1.6022633807226798e+18,alleyesonwagner,Internet,,,,,,
131,22,2022-12-12,11:25:09,links: https://globaltrends.digital/post/ukraine-war-lemekhani-nyirenda-was-recruited-by-russia-s-mercenary-group-wagner,1.602263279321383e+18,global_trends22,UNKWN,,,,,,
132,23,2022-12-12,11:25:09,annotations: Ukraine,1.602263279321383e+18,global_trends22,UNKWN,,,,,,
133,24,2022-12-12,11:25:09,annotations: Lemekhani Nyirenda,1.602263279321383e+18,global_trends22,UNKWN,,,,,,
134,25,2022-12-12,11:25:09,annotations: Russia,1.602263279321383e+18,global_trends22,UNKWN,,,,,,
135,26,2022-12-12,11:25:09,annotations: Wagner,1.602263279321383e+18,global_trends22,UNKWN,,,,,,
136,27,2020-06-23,11:16:27,tweeted: Ukraine war: Lemekhani Nyirenda was recruited by Russia's mercenary group Wagner https://t.co/Ya91UGeb1D,1.602263279321383e+18,global_trends22,UNKWN,,,,,,
137,28,2022-12-12,11:21:44,annotations: Russia,1.6022624219886428e+18,ocholagragory,UNKWN,,,,,,
138,29,2022-12-12,11:21:44,annotations: Ukraine,1.6022624219886428e+18,ocholagragory,UNKWN,,,,,,
139,30,2022-12-12,11:21:44,annotations: Wagner,1.6022624219886428e+18,ocholagragory,UNKWN,,,,,,
140,31,2022-12-12,11:21:44,annotations: Russia,1.6022624219886428e+18,ocholagragory,UNKWN,,,,,,
141,32,2022-03-13,11:31:00,tweeted: I would like to fight for Russia in Ukraine. I ask the Wagner group to give me the opportunity to fight for Russia.,1.6022624219886428e+18,ocholagragory,UNKWN,,,,,,
142,33,2022-12-12,11:20:37,links: https://twitter.com/HerryNapit/status/1602262139745734656/photo/1,1.6022621397457347e+18,HerryNapit,Indonesia,,,,,,
143,34,2022-12-12,11:20:37,annotations: Wagner Group,1.6022621397457347e+18,HerryNapit,Indonesia,,,,,,
144,35,2022-12-12,11:20:37,annotations: Putin,1.6022621397457347e+18,HerryNapit,Indonesia,,,,,,
145,36,2022-12-12,11:20:37,annotations: Bakhmut,1.6022621397457347e+18,HerryNapit,Indonesia,,,,,,
146,37,2022-12-12,11:20:37,annotations: Donetsk,1.6022621397457347e+18,HerryNapit,Indonesia,,,,,,
147,38,2022-12-12,11:20:37,annotations: Ukraine,1.6022621397457347e+18,HerryNapit,Indonesia,,,,,,
148,39,2022-12-12,11:20:37,annotations: Prigozhin,1.6022621397457347e+18,HerryNapit,Indonesia,,,,,,
149,40,2022-12-12,11:20:37,annotations: Kremlin,1.6022621397457347e+18,HerryNapit,Indonesia,,,,,,
150,41,2022-12-12,11:20:37,annotations: Russia,1.6022621397457347e+18,HerryNapit,Indonesia,,,,,,
151,42,2022-12-12,11:20:37,annotations: Wagner,1.6022621397457347e+18,HerryNapit,Indonesia,,,,,,
152,43,2022-12-12,11:20:37,annotations: UkraineWar,1.6022621397457347e+18,HerryNapit,Indonesia,,,,,,
153,44,2020-01-13,02:40:35,"tweeted: Wagner Group is doing Putin’s dirty work in Bakhmut, Donetsk region, Ukraine. Its leader Prigozhin is trying to make a political gain, showing the Kremlin, Russia, that Wagner is the only Russian force that could counter the Ukrainians #Ukraine🇺🇦#UkraineWar #UkraineRussiaWar️ https://t.co/2zw4t3jg97",1.6022621397457347e+18,HerryNapit,Indonesia,,,,,,
154,45,2022-12-12,11:20:22,links: https://twitter.com/peripolemou/status/1602262079326535680/photo/1,1.6022620793265357e+18,peripolemou,UNKWN,,,,,,
155,46,2022-03-13,12:51:15,"tweeted: Η μελλοντική μας διατροφή . Αυτην μας ετοιμαζει ο Κλαους Σουαμπ και οι ομοιοι του.

 #russia_ukraine_war #usa #NATO #Wagner_group_pmc https://t.co/TzB2ia678g",1.6022620793265357e+18,peripolemou,UNKWN,,,,,,
156,47,2022-12-12,11:19:53,links: https://ift.tt/BQFjrLy,1.602261957100421e+18,waranalysts,UNKWN,,,,,,
157,48,2022-12-12,11:19:53,annotations: Ukraine,1.602261957100421e+18,waranalysts,UNKWN,,,,,,
158,49,2022-12-12,11:19:53,annotations: Wagner,1.602261957100421e+18,waranalysts,UNKWN,,,,,,
159,50,2022-12-12,11:19:53,annotations: The Jerusalem Post,1.602261957100421e+18,waranalysts,UNKWN,,,,,,
160,51,2009-12-02,14:44:38,tweeted: Ukraine regional official says strike hits Wagner group headquarters - The Jerusalem Post https://t.co/Q1Wumvubm1,1.602261957100421e+18,waranalysts,UNKWN,,,,,,
161,52,2022-12-12,11:18:09,mentions: S_Ibrahimkhil,1.6022615177092137e+18,underjoyed,"Frankfurt am Main, Deutschland",,,,,,
162,53,2022-12-12,11:18:09,annotations: Wagner Group,1.6022615177092137e+18,underjoyed,"Frankfurt am Main, Deutschland",,,,,,
163,54,2009-01-07,16:45:07,"tweeted: @S_Ibrahimkhil Disclaimer: Wagner Group can mean a lot of things in this particular case. It is with high probability predictable that most of the people who were killed are ""undesirables"" who are faced with instant death if they decide not to fight. And ""undesirables"" in 🇷🇺 is a broad term.",1.6022615177092137e+18,underjoyed,"Frankfurt am Main, Deutschland",,,,,,
164,55,2022-12-12,11:17:35,annotations: Ukraine,1.6022613785044582e+18,S_Ibrahimkhil,"Essen, Deutschland",,,,,,
165,56,2022-12-12,11:17:35,annotations: Wagner,1.6022613785044582e+18,S_Ibrahimkhil,"Essen, Deutschland",,,,,,
166,57,2022-12-12,11:17:35,annotations: Luhansk,1.6022613785044582e+18,S_Ibrahimkhil,"Essen, Deutschland",,,,,,
167,58,2022-12-12,11:17:35,annotations: Serhij Hajdaj,1.6022613785044582e+18,S_Ibrahimkhil,"Essen, Deutschland",,,,,,
168,59,2022-12-12,11:17:35,annotations: Kyiv Independent,1.6022613785044582e+18,S_Ibrahimkhil,"Essen, Deutschland",,,,,,
169,60,2019-06-27,02:58:25,"tweeted: #Ukraine Ukrainian forces have attacked the headquarters of the Wagner group in Luhansk.
According to the region's governor, Serhij Hajdaj, several people have been killed.
- It is about enormous losses, he tells the Kyiv Independent.",1.6022613785044582e+18,S_Ibrahimkhil,"Essen, Deutschland",,,,,,
170,0,2022-12-12,11:16:09,annotations: Luhansk,1.602261018159317e+18,DTMsport,Geographically Unstable,,,,,,
171,1,2022-12-12,11:16:09,annotations: Russia,1.602261018159317e+18,DTMsport,Geographically Unstable,,,,,,
172,2,2022-12-12,11:16:09,annotations: Wagner,1.602261018159317e+18,DTMsport,Geographically Unstable,,,,,,
173,3,2022-12-12,11:16:09,links: https://www.telegraph.co.uk/world-news/2022/12/11/ukraine-russia-war-news-putin-nuclear-iran-drones-latest/,1.602261018159317e+18,DTMsport,Geographically Unstable,,,,,,
174,4,2011-11-08,15:40:01,"tweeted: The Luhansk headquarters of Russia's notorious Wagner mercenary group has been struck, causing significant losses, according to a Ukrainian official.
 https://t.co/wE0wYUYhvm",1.602261018159317e+18,DTMsport,Geographically Unstable,,,,,,
175,5,2022-12-12,11:15:36,annotations: Ukraine,1.6022608759640228e+18,ievrenofficial,India,,,,,,
176,6,2022-12-12,11:15:36,annotations: Wagner,1.6022608759640228e+18,ievrenofficial,India,,,,,,
177,7,2022-12-12,11:15:36,links: https://ievren.org/europe/live-blog-ukraine-strike-hits-wagner-group-headquarters-official/,1.6022608759640228e+18,ievrenofficial,India,,,,,,
